Gene	numberofposfactors	txids	interpolyAdist
ENSG00000026950.16	4	ENST00000425234.6_ENST00000476549.6_ENST00000414912.2_ENST00000289361.10	NA
ENSG00000111801.15	2	ENST00000361232.7_ENST00000244519.6	600
ENSG00000112763.15	2	ENST00000312541.9,ENST00000429381.5,ENST00000541522.5_ENST00000480218.1,ENST00000469185.5	6968
ENSG00000124557.12	2	ENST00000613186.1_ENST00000244513.10	487
ENSG00000181315.10	2	ENST00000471278.5_ENST00000415922.6,ENST00000456172.5,ENST00000607204.5,ENST00000622479.4	1898
ENSG00000124635.8	2	ENST00000606923.1_ENST00000607124.1	182
ENSG00000096654.15	2	ENST00000377419.1_ENST00000211936.10	77
ENSG00000233822.4	2	ENST00000606613.1_ENST00000396980.4	10089
ENSG00000198315.10	2	ENST00000457389.6_ENST00000330236.6	5399
ENSG00000137185.11	3	ENST00000531981.5_ENST00000527436.5_ENST00000252207.9,ENST00000425468.6,ENST00000531979.5	NA
ENSG00000197062.11	3	ENST00000611552.2_ENST00000623276.3_ENST00000316606.10,ENST00000421553.6,ENST00000614088.1,ENST00000619937.4	NA
ENSG00000235109.7	2	ENST00000344279.10_ENST00000439158.5,ENST00000446474.5,ENST00000611469.4,ENST00000396838.6,ENST00000414429.5	207
ENSG00000189298.13	2	ENST00000341464.9_ENST00000377255.3,ENST00000252211.6	2431
ENSG00000158691.14	2	ENST00000396827.3_ENST00000361028.5	264
ENSG00000198704.9	2	ENST00000474923.1_ENST00000361902.5,ENST00000612264.4	890
ENSG00000232040.3	2	ENST00000452236.2_ENST00000646382.1	1095
ENSG00000243729.4	2	ENST00000377154.1_ENST00000641768.1	1481
ENSG00000204681.10	2	ENST00000377012.8,ENST00000377016.8,ENST00000377034.8_ENST00000355973.7	46609
ENSG00000204655.11	3	ENST00000376891.8,ENST00000376898.7,ENST00000396701.6,ENST00000494692.5_ENST00000376888.6_ENST00000376894.8,ENST00000376917.7,ENST00000431798.6	NA
ENSG00000204644.9	2	ENST00000376881.4,ENST00000376883.1_ENST00000488757.5	91
ENSG00000204642.13	3	ENST00000259951.11,ENST00000444621.1_ENST00000475996.1_ENST00000465459.2	NA
ENSG00000204574.12	2	ENST00000376545.7_ENST00000326195.12	219
ENSG00000137343.17	2	ENST00000318999.11,ENST00000319027.9,ENST00000329992.12,ENST00000376483.8_ENST00000330083.5,ENST00000376485.8	2144
ENSG00000204564.11	2	ENST00000467801.2,ENST00000446773.6,ENST00000465699.5_ENST00000293604.10,ENST00000376473.9,ENST00000468785.1	101
ENSG00000137337.14	2	ENST00000613547.4_ENST00000376406.7	13401
ENSG00000204580.13	4	ENST00000376575.7_ENST00000484556.1,ENST00000513240.5,ENST00000508312.5_ENST00000418800.6_ENST00000376570.8,ENST00000446312.5,ENST00000452441.5,ENST00000376568.7,ENST00000324771.12,ENST00000376567.6,ENST00000376569.7,ENST00000454612.6	NA
ENSG00000137411.17	2	ENST00000541562.5_ENST00000625423.2,ENST00000321897.9	46
ENSG00000204544.5	2	ENST00000486149.2_ENST00000376296.3	1266
ENSG00000204540.10	2	ENST00000547221.1,ENST00000481450.2_ENST00000259881.9	54
ENSG00000204536.13	2	ENST00000451521.6_ENST00000396268.7,ENST00000396263.6,ENST00000376266.9	81
ENSG00000137310.11	2	ENST00000376255.4,ENST00000376257.7_ENST00000542218.1	2944
ENSG00000204531.17	2	ENST00000620031.5_ENST00000471529.6,ENST00000512818.5,ENST00000606567.5,ENST00000513407.1,ENST00000259915.12,ENST00000441888.7	264
ENSG00000213760.10	3	ENST00000415099.2_ENST00000483251.1_ENST00000376151.4,ENST00000303892.9	NA
ENSG00000204482.10	4	ENST00000376092.7_ENST00000376110.7,ENST00000464044.1_ENST00000211921.11,ENST00000339530.8_ENST00000376086.7,ENST00000303757.12,ENST00000376089.6,ENST00000376090.6,ENST00000376093.6,ENST00000376096.5,ENST00000376099.5,ENST00000396101.7,ENST00000418507.6,ENST00000438075.6	NA
ENSG00000204475.9	2	ENST00000376072.7_ENST00000340027.9,ENST00000376073.8	379
ENSG00000204444.10	2	ENST00000375918.6_ENST00000375916.3,ENST00000375920.8	128
ENSG00000204438.10	2	ENST00000375896.8,ENST00000375893.6,ENST00000375895.6,ENST00000375900.8_ENST00000375906.5	847
ENSG00000263020.6	2	ENST00000617558.2_ENST00000375880.6,ENST00000409691.1	1200
ENSG00000240053.8	2	ENST00000409525.1_ENST00000375864.4	1084
ENSG00000204428.12	2	ENST00000383237.4_ENST00000375863.7	56
ENSG00000255552.7	2	ENST00000383418.8,ENST00000399142.3,ENST00000450147.6_ENST00000409239.5	570
ENSG00000204420.8	4	ENST00000480039.5_ENST00000375804.6,ENST00000375805.6,ENST00000375810.8_ENST00000375806.2_ENST00000375809.7	NA
ENSG00000204410.14	2	ENST00000375703.7,ENST00000375740.7,ENST00000375750.7,ENST00000395853.5,ENST00000429846.1_ENST00000375755.7	158
ENSG00000204385.11	2	ENST00000644409.1_ENST00000544672.5,ENST00000229729.10,ENST00000375562.8	259
ENSG00000166278.14	4	ENST00000418949.6_ENST00000469372.5_ENST00000383177.7_ENST00000442278.6,ENST00000452323.6,ENST00000299367.9	NA
ENSG00000243649.8	2	ENST00000483004.1_ENST00000425368.6,ENST00000498317.1	31
ENSG00000204356.13	2	ENST00000375425.9,ENST00000444811.6_ENST00000375429.7	142
ENSG00000204348.9	2	ENST00000375356.7_ENST00000495340.5,ENST00000375349.7,ENST00000337523.9	34
ENSG00000231852.7	2	ENST00000435122.3,ENST00000644719.1_ENST00000418967.6,ENST00000643666.1	28
ENSG00000168477.18	3	ENST00000479795.1_ENST00000613214.4_ENST00000451343.4,ENST00000611016.2,ENST00000644971.1,ENST00000375244.7	NA
ENSG00000204305.13	3	ENST00000538695.2_ENST00000375065.6_ENST00000375067.7,ENST00000375055.6,ENST00000375069.7,ENST00000375070.7,ENST00000438221.6,ENST00000620802.4,ENST00000375076.8	NA
ENSG00000204296.11	3	ENST00000617061.4_ENST00000527965.5,ENST00000375007.8,ENST00000447241.6,ENST00000375015.8,ENST00000533191.5,ENST00000612031.4_ENST00000442822.6	NA
ENSG00000204290.10	2	ENST00000374993.4,ENST00000544175.2_ENST00000454136.7	773
ENSG00000196735.11	2	ENST00000374949.2_ENST00000343139.9,ENST00000395363.5	635
ENSG00000232629.8	2	ENST00000427449.1_ENST00000411527.5,ENST00000435145.6,ENST00000437316.6	290
ENSG00000204267.13	2	ENST00000620123.4,ENST00000374897.2_ENST00000374899.8	3582
ENSG00000204256.12	3	ENST00000496118.2_ENST00000606059.1_ENST00000374825.8,ENST00000374831.8,ENST00000395287.5,ENST00000449025.5,ENST00000449085.3	NA
ENSG00000231389.7	2	ENST00000437811.1_ENST00000419277.5	3091
ENSG00000204248.10	2	ENST00000395194.1_ENST00000341947.6,ENST00000361917.5,ENST00000374708.8	23764
ENSG00000204220.11	3	ENST00000374610.6_ENST00000374606.9,ENST00000395131.5,ENST00000374607.5_ENST00000463584.1	NA
ENSG00000231925.11	3	ENST00000456592.3_ENST00000426633.6_ENST00000434618.6	NA
ENSG00000237649.7	2	ENST00000494554.2_ENST00000428849.6	2834
ENSG00000112514.15	3	ENST00000374496.3_ENST00000440279.7,ENST00000607266.5,ENST00000488478.5,ENST00000488034.5,ENST00000611509.4_ENST00000374500.9	NA
ENSG00000197283.16	5	ENST00000628646.2_ENST00000645250.1_ENST00000428982.4_ENST00000418600.7,ENST00000646630.1_ENST00000629380.2	NA
ENSG00000213588.5	2	ENST00000612407.1_ENST00000395064.2	1358
ENSG00000137288.9	3	ENST00000374214.3_ENST00000607484.5_ENST00000374231.8	NA
ENSG00000161896.11	2	ENST00000451316.6_ENST00000293756.4	727
ENSG00000161904.11	3	ENST00000504692.1_ENST00000508327.5_ENST00000506578.5,ENST00000614475.4,ENST00000293760.9	NA
ENSG00000096395.10	2	ENST00000266003.9_ENST00000430124.6	27
ENSG00000124493.13	5	ENST00000455714.6_ENST00000544773.6_ENST00000609222.5_ENST00000538487.6,ENST00000374177.7_ENST00000535756.5,ENST00000374181.8	NA
ENSG00000186577.12	2	ENST00000468145.1_ENST00000481533.5,ENST00000394990.8,ENST00000335352.8,ENST00000636500.1,ENST00000476320.5	105
ENSG00000270800.3	2	ENST00000639877.1_ENST00000639725.1	2082
ENSG00000196821.9	2	ENST00000374021.1_ENST00000374023.7,ENST00000374026.7	3221
ENSG00000124562.9	2	ENST00000374018.5_ENST00000244520.9,ENST00000374017.3	80
ENSG00000065060.16	2	ENST00000192788.5_ENST00000452449.6	5624
ENSG00000124678.17	3	ENST00000512012.5,ENST00000418521.6_ENST00000373974.8_ENST00000502480.5,ENST00000412155.6,ENST00000373979.6,ENST00000444780.6,ENST00000244645.7,ENST00000611141.4,ENST00000311875.9	NA
ENSG00000065029.14	2	ENST00000498555.1_ENST00000339411.5,ENST00000373953.7	1009
ENSG00000112033.13	2	ENST00000337400.6_ENST00000311565.4,ENST00000360694.7,ENST00000418635.6,ENST00000448077.6	2798
ENSG00000007866.19	2	ENST00000639578.1_ENST00000402886.7,ENST00000338863.11	1447
ENSG00000096060.14	2	ENST00000542713.1_ENST00000539068.5,ENST00000357266.8,ENST00000536438.5	6972
ENSG00000157343.8	2	ENST00000288065.6,ENST00000373869.7_ENST00000373866.3	168
ENSG00000204140.9	2	ENST00000373861.5_ENST00000428710.1	5523
ENSG00000096063.15	2	ENST00000361690.7,ENST00000423325.6_ENST00000373825.6	68
ENSG00000112062.10	4	ENST00000310795.8_ENST00000468133.5_ENST00000229794.8_ENST00000229795.7	NA
ENSG00000156711.16	3	ENST00000373759.1_ENST00000211287.8_ENST00000373766.9	NA
ENSG00000096070.19	3	ENST00000534400.5_ENST00000339717.11,ENST00000534694.5_ENST00000357641.10	NA
ENSG00000180316.12	4	ENST00000394571.3,ENST00000457797.5_ENST00000312917.9_ENST00000388715.7_ENST00000636260.1	NA
ENSG00000010030.13	3	ENST00000340181.8,ENST00000373737.8,ENST00000373738.4,ENST00000538992.3,ENST00000615781.4,ENST00000620358.4_ENST00000627426.2_ENST00000339796.9	NA
ENSG00000179165.10	2	ENST00000619547.1_ENST00000454782.2	450
ENSG00000112078.13	2	ENST00000449081.6_ENST00000373731.6,ENST00000536244.5	766
ENSG00000112081.16	2	ENST00000620941.1_ENST00000373715.10	3403
ENSG00000124762.13	2	ENST00000373711.3_ENST00000405375.5,ENST00000448526.6,ENST00000615513.4,ENST00000244741.9	1415
ENSG00000198663.16	3	ENST00000355190.7,ENST00000373685.1_ENST00000359359.6_ENST00000480824.6	NA
ENSG00000137409.19	2	ENST00000460219.2_ENST00000373616.9,ENST00000373627.9	1325
ENSG00000112130.16	3	ENST00000498460.1_ENST00000469731.5_ENST00000373479.8	NA
ENSG00000137200.12	2	ENST00000373451.8_ENST00000457419.1	1321
ENSG00000112139.14	2	ENST00000505425.5_ENST00000434837.7	7281
ENSG00000156639.11	2	ENST00000373389.5_ENST00000287218.8,ENST00000373391.6	12293
ENSG00000183826.16	4	ENST00000403056.2_ENST00000408958.5_ENST00000419706.6_ENST00000314100.10,ENST00000481247.5	NA
ENSG00000124721.17	2	ENST00000449981.6_ENST00000327475.10,ENST00000359357.7	58449
ENSG00000095981.10	5	ENST00000437525.2_ENST00000373227.8_ENST00000507712.5_ENST00000425054.6_ENST00000373229.9	NA
ENSG00000164627.17	5	ENST00000441975.2_ENST00000538893.5_ENST00000229913.9_ENST00000394362.5_ENST00000458470.5,ENST00000287152.11	NA
ENSG00000146122.16	3	ENST00000405961.3_ENST00000633794.1_ENST00000274867.8,ENST00000398904.6,ENST00000538976.5	NA
ENSG00000124615.18	4	ENST00000340692.9_ENST00000373195.7_ENST00000373188.6_ENST00000373186.9	NA
ENSG00000124602.9	2	ENST00000373164.1_ENST00000244565.7	1460
ENSG00000124596.16	8	ENST00000471367.1_ENST00000469104.5_ENST00000468811.5,ENST00000486443.5_ENST00000464633.5,ENST00000482515.5_ENST00000480585.5_ENST00000373154.6,ENST00000424266.6,ENST00000628419.2_ENST00000463088.5_ENST00000479950.5	NA
ENSG00000112212.11	3	ENST00000470917.1_ENST00000373158.6_ENST00000373161.5	NA
ENSG00000001167.14	2	ENST00000353205.5_ENST00000341376.10	2026
ENSG00000161911.11	2	ENST00000426005.6,ENST00000437044.2_ENST00000373127.8	262
ENSG00000124731.12	4	ENST00000591620.1_ENST00000334475.10_ENST00000244709.8_ENST00000589614.5	NA
ENSG00000137166.14	3	ENST00000409208.5,ENST00000373057.7_ENST00000307972.8_ENST00000373060.5,ENST00000373063.7	NA
ENSG00000112559.13	2	ENST00000373050.8_ENST00000373051.6,ENST00000230321.10	607
ENSG00000112561.17	2	ENST00000394283.5_ENST00000406563.6,ENST00000343317.10,ENST00000403298.8,ENST00000230323.8,ENST00000420312.5,ENST00000373033.5,ENST00000358871.6	2551
ENSG00000096088.16	2	ENST00000425343.6_ENST00000373025.7	4127
ENSG00000278224.6	3	ENST00000394259.5,ENST00000483200.2_ENST00000394260.2,ENST00000394263.5_ENST00000359201.6,ENST00000458694.5	NA
ENSG00000164663.14	3	ENST00000373006.5_ENST00000373010.5_ENST00000394253.7	NA
ENSG00000124641.15	3	ENST00000409060.1_ENST00000409312.5_ENST00000265350.8	NA
ENSG00000112576.12	4	ENST00000512426.5_ENST00000510503.5_ENST00000414200.6_ENST00000372987.8,ENST00000372991.8,ENST00000415497.6,ENST00000616010.4,ENST00000372988.8,ENST00000511642.5	NA
ENSG00000137413.15	7	ENST00000472818.5_ENST00000372978.7_ENST00000465926.5_ENST00000494547.5_ENST00000372977.7_ENST00000456846.6_ENST00000372982.8	NA
ENSG00000188112.8	2	ENST00000356542.5_ENST00000341865.8	25259
ENSG00000124496.12	3	ENST00000340840.6,ENST00000354325.2,ENST00000372917.8_ENST00000372922.8_ENST00000541110.5	NA
ENSG00000024048.10	2	ENST00000372903.6_ENST00000372899.5,ENST00000372901.1	73153
ENSG00000112624.12	2	ENST00000614467.4_ENST00000394168.1,ENST00000314073.9	170
ENSG00000146223.14	3	ENST00000602561.1_ENST00000493763.5_ENST00000304734.9	NA
ENSG00000137161.16	2	ENST00000394142.7_ENST00000372836.4	1117
ENSG00000124587.13	2	ENST00000244546.4_ENST00000304611.12	465
ENSG00000112640.14	2	ENST00000461010.5_ENST00000470467.5,ENST00000472118.5,ENST00000394110.7,ENST00000485511.5	1015
ENSG00000124733.4	2	ENST00000244711.3,ENST00000643776.1,ENST00000642748.1,ENST00000645375.1,ENST00000645410.1_ENST00000642555.1	951
ENSG00000137171.14	3	ENST00000458460.6_ENST00000453940.6_ENST00000394056.6,ENST00000479388.5,ENST00000259708.7,ENST00000347162.9	NA
ENSG00000112651.11	4	ENST00000468957.1_ENST00000487429.1_ENST00000230413.9,ENST00000489623.1_ENST00000388752.7	NA
ENSG00000112655.15	4	ENST00000476760.1_ENST00000471863.5_ENST00000481273.5_ENST00000345201.6,ENST00000349241.6,ENST00000352931.6,ENST00000230419.8,ENST00000489707.5	NA
ENSG00000146216.12	2	ENST00000304139.6_ENST00000259750.8	15633
ENSG00000137204.14	2	ENST00000372574.7_ENST00000372585.9,ENST00000372589.7	1058
ENSG00000146215.13	3	ENST00000274990.4_ENST00000451294.5_ENST00000372569.7	NA
ENSG00000171467.15	2	ENST00000361428.2_ENST00000606599.1	4581
ENSG00000171453.18	7	ENST00000646188.1_ENST00000372344.6,ENST00000642195.1,ENST00000372389.7_ENST00000643799.1_ENST00000304004.7_ENST00000646433.1_ENST00000643341.1_ENST00000607635.2	NA
ENSG00000137207.11	2	ENST00000506469.5_ENST00000372422.6	101
ENSG00000124688.13	2	ENST00000451025.6_ENST00000372171.4	33
ENSG00000096080.11	2	ENST00000372116.5_ENST00000372133.7	207
ENSG00000112715.21	4	ENST00000372055.8,ENST00000523873.5_ENST00000523950.5_ENST00000230480.10,ENST00000425836.6,ENST00000520948.5_ENST00000372064.8,ENST00000372067.7,ENST00000372077.8	NA
ENSG00000181577.15	3	ENST00000439969.2_ENST00000442114.6_ENST00000336600.5	NA
ENSG00000262179.2	2	ENST00000576476.1_ENST00000573382.2	138
ENSG00000146232.16	2	ENST00000443607.2_ENST00000275015.9,ENST00000619360.5	527
ENSG00000178233.17	2	ENST00000451188.6_ENST00000438774.2	28062
ENSG00000146221.9	2	ENST00000371504.1_ENST00000371505.4	1422
ENSG00000196284.15	3	ENST00000371458.1_ENST00000371459.5_ENST00000371460.5	NA
ENSG00000124813.21	4	ENST00000465038.6,ENST00000625924.1_ENST00000371436.10_ENST00000359524.7,ENST00000371438.5,ENST00000647337.1,ENST00000371432.7_ENST00000576263.5	NA
ENSG00000112782.16	5	ENST00000544153.3_ENST00000339561.11_ENST00000185206.11_ENST00000644324.1_ENST00000644878.1	NA
ENSG00000112796.9	2	ENST00000230565.3_ENST00000371383.6	1228
ENSG00000172348.14	2	ENST00000405162.2_ENST00000330430.10,ENST00000371374.5,ENST00000306764.11	730
ENSG00000146233.7	2	ENST00000275016.2_ENST00000619708.4	224
ENSG00000153291.15	2	ENST00000604616.1_ENST00000411689.6,ENST00000371347.9	1190
ENSG00000180113.15	2	ENST00000316081.10_ENST00000544460.5	1906
ENSG00000146070.16	2	ENST00000537365.1_ENST00000274793.11	116
ENSG00000230062.5	2	ENST00000445060.1_ENST00000565422.1	1082
ENSG00000069122.18	2	ENST00000265417.7_ENST00000283296.11	87
ENSG00000153292.15	2	ENST00000371243.2_ENST00000371253.6	22183
ENSG00000164393.8	3	ENST00000296862.5_ENST00000507065.5_ENST00000398742.2	NA
ENSG00000124818.15	3	ENST00000393699.2_ENST00000371211.6_ENST00000489301.6	NA
ENSG00000244694.7	2	ENST00000398738.2_ENST00000339488.8	21581
ENSG00000096006.11	2	ENST00000371159.8_ENST00000263045.8,ENST00000433368.6	1306
ENSG00000124812.14	2	ENST00000505118.1_ENST00000329411.9,ENST00000507853.5,ENST00000335847.8	603
ENSG00000170927.14	2	ENST00000340994.4_ENST00000371117.7	105549
ENSG00000112118.18	3	ENST00000421471.1_ENST00000419835.7_ENST00000229854.11,ENST00000596288.5,ENST00000616552.4	NA
ENSG00000170915.8	2	ENST00000360726.3_ENST00000442253.2	86
ENSG00000096093.15	10	ENST00000637263.1_ENST00000635984.1_ENST00000636107.1_ENST00000635996.1_ENST00000635760.1,ENST00000636489.1,ENST00000636702.1,ENST00000636954.1_ENST00000636379.1_ENST00000637089.1,ENST00000538167.2_ENST00000371068.10_ENST00000636343.1_ENST00000637353.1	NA
ENSG00000182793.11	2	ENST00000284562.6_ENST00000370989.6	87
ENSG00000170899.10	2	ENST00000370959.1_ENST00000370960.5	209
ENSG00000112144.15	2	ENST00000356971.3_ENST00000350082.9	32
ENSG00000112146.16	4	ENST00000370939.7_ENST00000484436.7_ENST00000323557.11_ENST00000244426.10	NA
ENSG00000012660.13	2	ENST00000370913.5_ENST00000304434.10,ENST00000370918.8,ENST00000542638.5	26690
ENSG00000001084.11	5	ENST00000514004.5_ENST00000513939.6_ENST00000643939.1_ENST00000616923.5_ENST00000509541.5,ENST00000229416.10	NA
ENSG00000124743.5	2	ENST00000407079.1_ENST00000370905.3	3697
ENSG00000137269.14	2	ENST00000370882.1_ENST00000370888.5	39976
ENSG00000146147.14	2	ENST00000514921.5_ENST00000509997.5,ENST00000274897.9,ENST00000370876.6,ENST00000370877.6	48196
ENSG00000137251.15	2	ENST00000370864.3_ENST00000259782.8	63146
ENSG00000137252.9	2	ENST00000615358.4_ENST00000370862.3	28
ENSG00000146151.12	5	ENST00000428842.1_ENST00000308161.8_ENST00000508459.5_ENST00000370850.6_ENST00000398661.6,ENST00000274901.8	NA
ENSG00000124749.16	3	ENST00000456983.1_ENST00000535941.5_ENST00000244728.9,ENST00000370819.5	NA
ENSG00000151914.19	6	ENST00000518935.5_ENST00000370765.10_ENST00000523943.1_ENST00000361203.7_ENST00000523292.5_ENST00000244364.10,ENST00000370788.6,ENST00000421834.6,ENST00000312431.10	NA
ENSG00000151917.17	2	ENST00000370748.7_ENST00000370746.7	16398
ENSG00000112200.16	5	ENST00000370710.10_ENST00000370708.8_ENST00000491832.6_ENST00000357489.7_ENST00000370706.8	NA
ENSG00000112210.11	2	ENST00000317483.4_ENST00000468148.5	1791
ENSG00000146143.17	3	ENST00000274891.10,ENST00000370687.6_ENST00000550475.2_ENST00000615550.4	NA
ENSG00000146166.16	3	ENST00000622415.1_ENST00000370657.8_ENST00000370658.9	NA
ENSG00000112245.10	3	ENST00000627002.1_ENST00000626021.2_ENST00000370651.5	NA
ENSG00000118482.11	4	ENST00000509330.5_ENST00000393387.5_ENST00000262043.7_ENST00000505138.1	NA
ENSG00000188107.14	5	ENST00000342421.9_ENST00000393380.6_ENST00000398580.3_ENST00000370621.7_ENST00000503581.5	NA
ENSG00000135298.13	2	ENST00000546190.5_ENST00000238918.12,ENST00000370598.5	620
ENSG00000082293.12	2	ENST00000478620.2_ENST00000620364.4	330074
ENSG00000112280.16	3	ENST00000370496.3_ENST00000320755.12_ENST00000357250.10	NA
ENSG00000082269.16	4	ENST00000505868.1_ENST00000361499.7_ENST00000457062.6,ENST00000505769.5_ENST00000370479.7,ENST00000418814.6	NA
ENSG00000112305.14	3	ENST00000439432.1_ENST00000316999.9,ENST00000370452.7_ENST00000619054.4,ENST00000370455.7	NA
ENSG00000112309.10	2	ENST00000615536.1_ENST00000230053.10	534
ENSG00000079841.18	8	ENST00000370420.8,ENST00000517960.5,ENST00000518273.5,ENST00000521978.5,ENST00000522291.5_ENST00000517827.5,ENST00000425662.6,ENST00000401910.7_ENST00000491071.6_ENST00000517433.5_ENST00000520567.5,ENST00000523963.5_ENST00000522211.5_ENST00000414192.2_ENST00000264839.11	NA
ENSG00000185760.15	7	ENST00000443915.1_ENST00000441538.1_ENST00000370392.5_ENST00000427928.1_ENST00000629977.2_ENST00000628967.2_ENST00000355194.8,ENST00000355635.7,ENST00000402622.6,ENST00000403813.6,ENST00000414165.6,ENST00000342056.6,ENST00000370398.5	NA
ENSG00000203907.9	2	ENST00000370359.5_ENST00000370363.5	201
ENSG00000164430.15	2	ENST00000370315.3_ENST00000370318.5	10194
ENSG00000135297.15	5	ENST00000370305.5_ENST00000521156.5_ENST00000415954.6_ENST00000370300.8_ENST00000498286.5	NA
ENSG00000156508.17	2	ENST00000309268.10,ENST00000331523.6_ENST00000316292.13,ENST00000610520.4,ENST00000615060.4	1769
ENSG00000111799.20	4	ENST00000493109.2_ENST00000483888.6_ENST00000345356.10_ENST00000425443.6,ENST00000615798.4,ENST00000322507.12	NA
ENSG00000112695.11	3	ENST00000472311.6_ENST00000460985.1,ENST00000509698.5_ENST00000370089.6,ENST00000370081.6	NA
ENSG00000112697.15	3	ENST00000475111.6_ENST00000370050.9_ENST00000230461.10	NA
ENSG00000118407.14	2	ENST00000370020.1,ENST00000237172.11_ENST00000393004.6	16225
ENSG00000112701.17	4	ENST00000327284.12_ENST00000424947.6_ENST00000370010.6_ENST00000447266.6	NA
ENSG00000196586.13	4	ENST00000627432.2_ENST00000615563.4_ENST00000369975.5,ENST00000369977.7_ENST00000369985.8,ENST00000369981.7	NA
ENSG00000112706.11	2	ENST00000369952.3_ENST00000369950.7,ENST00000611179.4	616
ENSG00000135338.13	2	ENST00000467898.3_ENST00000369846.8,ENST00000392959.5	2837
ENSG00000083123.14	2	ENST00000369760.8_ENST00000356489.9,ENST00000320393.8	176397
ENSG00000112773.15	3	ENST00000423467.1_ENST00000320172.10,ENST00000369754.7,ENST00000369756.3_ENST00000412306.1	NA
ENSG00000005700.14	3	ENST00000503631.5,ENST00000510291.5_ENST00000610980.4_ENST00000306270.11	NA
ENSG00000146242.8	2	ENST00000535040.4,ENST00000543496.3_ENST00000369750.3	3411
ENSG00000083097.14	3	ENST00000369739.7_ENST00000237163.9_ENST00000349129.6	NA
ENSG00000013375.15	5	ENST00000509219.1_ENST00000506587.5_ENST00000283977.8_ENST00000512866.5_ENST00000513973.5,ENST00000616566.4	NA
ENSG00000065609.14	2	ENST00000523448.5,ENST00000520213.5_ENST00000195649.10,ENST00000369694.6,ENST00000521743.5,ENST00000520302.5,ENST00000439399.6,ENST00000521485.5	1149
ENSG00000065615.13	2	ENST00000369679.4_ENST00000369681.9	57128
ENSG00000112837.16	2	ENST00000369663.9_ENST00000606784.5	45229
ENSG00000135318.11	3	ENST00000369646.7_ENST00000437581.1_ENST00000257770.7,ENST00000369651.7	NA
ENSG00000135317.12	2	ENST00000513865.5,ENST00000369627.6,ENST00000505648.5_ENST00000314673.7,ENST00000346348.7	302
ENSG00000135316.17	3	ENST00000369622.7_ENST00000355238.10_ENST00000616122.4	NA
ENSG00000135346.8	3	ENST00000630630.2_ENST00000610310.3_ENST00000369582.6,ENST00000627148.2	NA
ENSG00000188994.12	4	ENST00000392985.3_ENST00000466062.2_ENST00000339907.8_ENST00000369577.7	NA
ENSG00000111850.10	3	ENST00000608868.2_ENST00000608353.5,ENST00000608525.5_ENST00000229570.9,ENST00000392863.5	NA
ENSG00000164414.17	2	ENST00000622775.3_ENST00000369556.7,ENST00000369557.9,ENST00000369552.8	534
ENSG00000118432.12	2	ENST00000362094.5,ENST00000468898.1,ENST00000428600.2_ENST00000369499.2,ENST00000369501.2	3992
ENSG00000111880.15	3	ENST00000538899.2_ENST00000369475.7_ENST00000369485.8	NA
ENSG00000146278.10	3	ENST00000354922.3_ENST00000369472.1_ENST00000336032.3	NA
ENSG00000146276.11	2	ENST00000369451.7_ENST00000454853.6,ENST00000435811.5,ENST00000611484.4,ENST00000621627.4	1091
ENSG00000025039.14	2	ENST00000359203.3_ENST00000369415.8	362
ENSG00000135299.16	6	ENST00000485637.5_ENST00000521004.1_ENST00000522441.5_ENST00000447838.6,ENST00000520793.5_ENST00000339746.8_ENST00000369408.9	NA
ENSG00000083099.10	4	ENST00000520318.1_ENST00000523377.1_ENST00000520441.5_ENST00000626778.2	NA
ENSG00000112159.11	2	ENST00000629399.2_ENST00000369393.7	1013
ENSG00000112182.14	2	ENST00000343122.7_ENST00000257749.8,ENST00000537989.5	4956
ENSG00000135341.17	2	ENST00000369320.1_ENST00000369325.7,ENST00000369327.7,ENST00000369329.7,ENST00000369332.7	2110
ENSG00000135333.13	2	ENST00000369297.1_ENST00000369303.8	169634
ENSG00000172469.15	2	ENST00000369293.5_ENST00000358812.8	22076
ENSG00000112214.10	2	ENST00000326771.2_ENST00000541107.5	68
ENSG00000186231.16	2	ENST00000447886.1_ENST00000369261.8,ENST00000536676.5,ENST00000539200.5,ENST00000544166.5,ENST00000620278.1	26575
ENSG00000146263.11	3	ENST00000482634.1_ENST00000369251.6_ENST00000275053.8	NA
ENSG00000112234.8	2	ENST00000229971.2_ENST00000369244.6	5187
ENSG00000146267.11	2	ENST00000538471.1_ENST00000389677.5	9498
ENSG00000132424.14	2	ENST00000481229.1,ENST00000438806.5_ENST00000369239.9	1913
ENSG00000123552.17	6	ENST00000472914.6_ENST00000329966.10_ENST00000496090.6,ENST00000511403.5_ENST00000369233.6_ENST00000327681.10_ENST00000500704.6	NA
ENSG00000228439.5	2	ENST00000636394.1_ENST00000452647.2	198
ENSG00000112237.12	5	ENST00000482541.2_ENST00000518714.5_ENST00000486428.6,ENST00000523985.5,ENST00000523799.5_ENST00000520371.5_ENST00000369220.8,ENST00000520429.5	NA
ENSG00000152034.10	2	ENST00000369212.2_ENST00000281806.6	842
ENSG00000112246.9	2	ENST00000262901.4_ENST00000369208.7	3857
ENSG00000112249.13	3	ENST00000369143.2_ENST00000522650.5_ENST00000369162.6	NA
ENSG00000164418.19	3	ENST00000358361.7_ENST00000436862.1_ENST00000318991.10,ENST00000369134.8,ENST00000369137.7,ENST00000369138.5,ENST00000413795.5,ENST00000421544.5	NA
